Checklist Name,Control ID,Control Name,Control Description
ISO,4.1,"Understanding the organization and its context","The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its information security management system."
ISO,4.2.a,"Understanding the needs and expectations of interested parties - Management System","The organization shall determine the interested parties that are relevant to the information security management system."
ISO,4.2.b,"Understanding the needs and expectations of interested parties - Requirements","The organization shall determine the relevant requirements of these interested parties."
ISO,4.2.c,"Understanding the needs and expectations of interested parties - Information Security","The organization shall determine which of these requirements will be addressed through the information security management system. Note: The requirements of interested parties can include legal and regulatory requirements and contractual obligations."
ISO,4.3,"Information Security Scope Determination","The organization shall determine the boundaries and applicability of the information security management system to establish its scope. This scope shall be available as documented information."
ISO,4.3.a,"Information Security Scope Determination - External and Internal Issues","When determining the scope of the information security management system, the organization shall consider the external and internal issues."
ISO,4.3.b,"Information Security Scope Determination - Requirements of Interested Parties","When determining the scope of the information security management system the organization shall consider the requirements of interested parties."
ISO,4.3.c,"Information Security Scope Determination - Interfaces and Dependencies","When determining the scope of the information security management system, the organization shall consider interfaces and dependencies between activities performed by the organization, and those that are performed by other organizations."
ISO,4.4,"Information Security Management System","The organization shall establish, implement, maintain, and continually improve an information security management system, including the processes needed and their interactions, in accordance with the requirements of this International Standard."
ISO,5.1.a,"Leadership and Commitment - Establish Policy","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the information security policy and the information security objectives are established and are compatible with the strategic direction of the organization."
ISO,5.1.b,"Leadership and Commitment - Integration","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the integration of the information security management system requirements into the organization’s processes."
ISO,5.1.c,"Leadership and Commitment - Resources","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring that the resources needed for the information security management system are available."
ISO,5.1.d,"Leadership and Commitment - Communication","Top management shall demonstrate leadership and commitment with respect to the information security management system by communicating the importance of effective information security management and of conforming to the information security management system requirements."
ISO,5.1.e,"Leadership and Commitment - Achievement","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the information security management system achieves its intended outcome(s)."
ISO,5.1.f,"Leadership and Commitment - Support","Top management shall demonstrate leadership and commitment with respect to the information security management system by directing and supporting persons to contribute to the effectiveness of the information security management system."
ISO,5.1.g,"Leadership and Commitment - Continual Improvement","Top management shall demonstrate leadership and commitment with respect to the information security management system by promoting continual improvement."
ISO,5.1.h,"Leadership and Commitment - Demonstrate","Top management shall demonstrate leadership and commitment with respect to the information security management system by supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility."
ISO,"5.2.a, 2.b, 2.c, 2.d, 2.e","Policy Establishment - Appropriateness, Objectives, Commitment to Satisfy, Commitment to Continually Improve, Documented","Top management shall establish an information security policy that is appropriate to the purpose of the organization, includes information security objectives or provides the framework for setting information security objectives, includes a commitment to satisfy applicable requirements related to information security, and includes a commitment to the continual improvement of the information security management system. The information security policy shall be available as documented information."
ISO,5.2.f,"Policy Establishment - Communication","The information security policy shall be communicated within the organization."
ISO,5.2.g,"Policy Establishment - Availability to Others","The information security policy shall be available to interested parties, as appropriate."
ISO,5.3,"Roles, Responsibilities, and Authorities","Top management shall ensure that the responsibilities and authorities for roles relevant to information security are assigned and communicated within the organization."
ISO,5.3.a,"Roles, Responsibilities, and Authorities - Conformity","Top management shall assign responsibility and authority for ensuring that the information security management system conforms to the requirements of ISO 27001."
ISO,5.3.b,"Roles, Responsibilities, and Authorities - Reporting","Top management shall assign the responsibility and authority for reporting on the performance of the information security management system to top management. Note: Top management can also assign responsibilities and authorities for reporting performance of the information security management system within the organization."
ISO,"6.1.1.a, 1.1.b, 1.1.c","Address Risks and Opportunities - Planning For Success, Reduce Undesired Effects, Achieve Continual Improvement","When planning for the information security management system, the organization shall consider the internal and external issues and needs or expectations of interested parties, and determine the risks and opportunities that need to be addressed to ensure the information security management system can achieve its intended outcome(s), prevent, or reduce, undesired effects, and achieve continual improvement."
ISO,6.1.1.d,"Address Risks and Opportunities - Plan to Address Risks","When planning for the information security management system, the organization shall plan actions to address risks and opportunities."
ISO,6.1.1.e.1,"Address Risks and Opportunities - Plan to Integrate Actions","When planning for the information security management system, the organization shall plan how to integrate and implement the actions into its information security management system processes."
ISO,6.1.1.e.2,"Address Risks and Opportunities - Plan to Evaluate","When planning for the information security management system, the organization shall plan how to evaluate the effectiveness of these actions."
ISO,"6.1.2.a.1, 1.2.a.2, 1.2.b, 1.2.c.1, 1.2.c.2","Information Security Risk Assessment - Risk Identification","The organization shall define and apply an information security risk assessment process that establishes and maintains information security risk criteria that include the risk acceptance criteria and criteria for performing information security risk assessments. The process shall also ensure that repeated information security risk assessments produce consistent, valid and comparable results, identifies the information security risks associated with the loss of confidentiality, integrity and availability for information within the scope of the information security management system, and identifies risk owners. The organization shall retain documented information about the information security risk assessment process."
ISO,"6.1.2.d.1, 1.2.d.2, 1.2.d.3","Information Security Risk Assessment - Risk Analysis","The organization shall define and apply an information security risk assessment process to assess the potential consequences that would result if the identified risks identified were to materialize, assess the realistic likelihood of the occurrence of the risks identified, and determine the levels of risks."
ISO,6.1.2.e.1,"Information Security Risk Assessment - Compare Results","The organization shall define and apply an information security risk assessment process that compares the results of the risk analysis with the established risk criteria."
ISO,6.1.2.e.2,"Information Security Risk Assessment - Prioritized Treatment","The organization shall define and apply an information security risk process that prioritizes the analyzed risks for risk treatment."
ISO,6.1.3,"Information Security Risk Treatment Process","The organization shall define and apply an information security risk treatment process. The organization shall retain documented information about the information security risk treatment process."
ISO,6.1.3.a,"Information Security Risk Treatment - Treatment Options","The organization shall define and apply an information security risk treatment process to select appropriate information security risk treatment options, taking account of the risk assessment results."
ISO,6.1.3.b,"Information Security Risk Treatment - Controls Determination","The organization shall define and apply an information security risk treatment process to determine all controls that are necessary to implement the information security risk treatment option(s) chosen. Note: Organizations can design controls as required, or identify them from any source."
ISO,6.1.3.c,"Information Security Risk Treatment - Controls Comparison","The organization shall define and apply an information security risk treatment process to compare the determined controls determined with those in Annex A (ISO 27001:2022), and verify that no necessary controls have been omitted. Note: Annex A contains a list of possible information security controls. Users of this document are directed to Annex A to ensure that no necessary information security controls are overlooked. Note: The information security controls listed in Annex A are not exhaustive and additional information security controls can be included if needed."
ISO,6.1.3.d,"Information Security Risk Treatment - Statement of Applicability","The organization shall define and apply an information security risk treatment process to produce a Statement of Applicability that contains: - the necessary controls; - justification for their inclusion; - whether the necessary controls are implemented or not; and - the justification for excluding any of the Annex A controls."
ISO,6.1.3.e,"Information Security Risk Treatment - Plan","The organization shall formulate an information security risk treatment plan."
ISO,6.1.3.f,"Information Security Risk Treatment - Approval and Acceptance","The organization shall obtain risk owners' approval of the information security risk treatment plan and acceptance of the residual information security risks."
ISO,6.2,"Information Security Objectives","The organization's shall establish information security objectives at relevant functions and levels. The organization shall retain documented information on the information security objectives."
ISO,"6.2.a, 2.b, 2.c","Information Security Objectives - Consistent With Policies, Measurable, Take Other Items Into Account","The organization's information security objectives shall be consistent with the information security policy, shall be measurable (if practicable), take into account applicable information security requirements, and results from risk assessments and risk treatments."
ISO,6.2.d,"Information Security Objectives - Monitoring","The organization's information security objectives shall be monitored."
ISO,6.2.e,"Information Security Objectives - Communication","The organization's information security objectives shall be communicated."
ISO,6.2.f,"Information Security Objectives - Updates","The organization's information security objectives shall be updated as appropriate."
ISO,6.2.g,"Information Security Objectives - Availability","The organization's information security objectives shall be available as documented information."
ISO,6.2.h,"Information Security Objectives Planning - Tasks","When planning how to achieve its information security objectives, the organization shall determine what will be done."
ISO,6.2.i,"Information Security Objectives Planning - Resources","When planning how to achieve its information security objectives, the organization shall determine what resources will be required."
ISO,6.2.j,"Information Security Objectives Planning - Responsibilities","When planning how to achieve its information security objectives, the organization shall determine what resources will be required."
ISO,6.2.k,"Information Security Objectives Planning - Timeline","When planning how to achieve its information security objectives, the organization shall determine when it will be completed."
ISO,6.2.l,"Information Security Objectives Planning - Results Evaluation","When planning how to achieve its information security objectives, the organization shall determine how the results will be evaluated."
ISO,6.3,"Planning of changes","When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner."
ISO,7.1,"Resources","The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system."
ISO,7.2.a,"Competence - Workforce Determination","The organization shall determine the necessary competence of person(s) doing work under its control that affects its information security performance."
ISO,7.2.b,"Competence - Appropriate Training and Education","The organization shall ensure these persons are competent on the basis of appropriate education, training, or experience."
ISO,7.2.c,"Competence - Evaluate Effectiveness","The organization shall, where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken. Note: Applicable actions can include, for example: the provision of training to, the mentoring of, or the reassignment of current employees; or the hiring or contracting of competent persons."
ISO,7.2.d,"Competence - Documentation","The organization shall retain appropriate documented information as evidence of competence."
ISO,7.3.a,"Awareness - Information Security Policy","Persons doing work under the organization's control shall be aware of the information security policy."
ISO,7.3.b,"Awareness - Contribution","Persons doing work under the organization's control shall be aware of their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance."
ISO,7.3.c,"Awareness - Consequences","Persons doing work under the organization's control shall be aware of the implications of not conforming with the information security management system requirements."
ISO,7.4.a,"Communication - What","The organization shall determine the need for internal and external communications relevant to the information security management system. The organization must determine 'what' to communicate."
ISO,7.4.b,"Communication - When","The organization shall determine the need for internal and external communications relevant to the information security management system. The organization must determine 'when' to communicate."
ISO,7.4.c,"Communication - With Whom","The organization shall determine the need for internal and external communications relevant to the information security management system. The organization must determine 'with whom' to communicate."
ISO,7.4.d,"Communication - How","The organization shall determine the need for internal and external communications relevant to the information security management system. The organization must determine 'when' to communicate."
ISO,7.5.1.a,"Documentation for Information Security Management System - ISO","The organization's information security management system shall include documented information required by this International Standard (ISO 27001:2022)."
ISO,7.5.1.b,"Documentation For Information Security Management System - Necessary Information","The organization's information security management system shall include documented information determined by the organization as being necessary for the effectiveness of the information security management system. Note: The extent of documented information for an information security management system can differ from one organization to another due to: 1) the size of organization and its type of activities, processes, products and services; 2) the complexity of processes and their interactions; 3) the competence of persons."
ISO,7.5.2.a,"Documented Information Security Management System - Description","When creating and updating documented information the organization shall ensure appropriate identification and description (e.g. a title, date, author, or reference number)."
ISO,7.5.2.b,"Documented Information Security Management System - Format","When creating and updating documented information the organization shall ensure appropriate format (e.g. language, software version, graphics) and media (e.g. paper, electronic)."
ISO,7.5.2.c,"Documented Information Security Management System - Adequacy","When creating and updating documented information the organization shall ensure appropriate review and approval for suitability and adequacy."
ISO,7.5.3,"Control Documented Information","Documented information required by the information security management system and by this International Standard (ISO 27001:2022) shall be controlled. Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled. Note: Access can imply a decision regarding the permission to view the documented information only, or the permission and authority to view and change the documented information, etc."
ISO,7.5.3.a,"Control Documented Information - Availability","Documented information required by the information security management system and by this International Standard (ISO 27001:2022) shall be controlled to ensure it is available and suitable for use, where and when it is needed."
ISO,7.5.3.b,"Control Documented Information - Protection","Documented information required by the information security management system and by this International Standard (ISO 27001:2022) shall be controlled to ensure it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity)."
ISO,7.5.3.c,"Control Documented Information - Distribution","For the control of documented information, the organization shall address the distribution, access, retrieval and use."
ISO,7.5.3.d,"Control Documented Information - Storage","For the control of documented information, the organization shall address the storage and preservation, including the preservation of legibility."
ISO,7.5.3.e,"Control Documented Information - Change Control","For the control of documented information, the organization shall address the control of changes (e.g. version control)."
ISO,7.5.3.f,"Control Documented Information - Retention","For the control of documented information, the organization shall address the retention and disposition."
ISO,8.1.1,"Operational Planning and Control - Implementation","The organization shall plan, implement and control the processes needed to meet requirements, and to implement the actions in the planning phase by establishing criteria for the processes and implementing control of the processes in accordance with the criteria."
ISO,8.1.2,"Operational Planning and Control - Documentation Retention","The organization shall keep documented information to the extent necessary to have confidence that the processes have been carried out as planned."
ISO,8.1.3,"Operational Planning and Control - Changes","The organization shall control planned changes and review the consequences of unintended changes, taking action to mitigate any adverse effects, as necessary."
ISO,8.1.4,"Operational Planning and Control - Outsourcing","The organization shall ensure that externally provided processes, products or services that are relevant to the information security management system are controlled."
ISO,8.2.1,"Information Security Risk Assessment - Periodic Evaluation","The organization shall perform information security risk assessments at planned intervals or when significant changes are proposed or occur."
ISO,8.2.2,"Information Security Risk Assessment - Results","The organization shall retain documented information of the results of the information security risk assessments."
ISO,8.3.1,"Information Security Risk Treatment - Implementation","The organization shall implement the information security risk treatment plan."
ISO,8.3.2,"Information Security Risk Treatment - Documentation Retention","The organization shall retain documented information of the result of the information security risk treatment."
ISO,9.1,"Performance Evaluation","The organization shall evaluate the information security performance and the effectiveness of the information security management system. Documented information shall be available as evidence of the results."
ISO,9.1.a,"Performance Evaluation - Scope","The organization shall determine what needs to be monitored and measured including information security processes and controls."
ISO,9.1.b,"Performance Evaluation - Methods","The organization shall determine the methods for monitoring, measurement, analysis and evaluation, as applicable, to ensure valid results. The methods selected should produce comparable and reproducible results to be considered valid."
ISO,9.1.c,"Performance Evaluation - When","The organization shall determine when the monitoring and measurement of the information security management system effectiveness shall be performed."
ISO,9.1.d,"Performance Evaluation - Who","The organization shall determine who shall monitor and measure the effectiveness of the information security management system."
ISO,9.1.e,"Performance Evaluation - Review of Results","The organization shall determine when the results from information security management system effectiveness monitoring and measurement shall be analysed and evaluated."
ISO,9.1.f,"Performance Evaluation - Reviewer","The organization shall determine who shall analyse and evaluate the results of information security management system performance monitoring."
ISO,9.2.1.a.1,"Internal Audit - Internal Requirements","The organization shall conduct internal audits at planned intervals to provide information on whether the information security management system conforms to the organization’s own requirements for its information security management system."
ISO,9.2.1.a.2,"Internal Audit - ISO Requirements","The organization shall conduct internal audits at planned intervals to provide information on whether the information security management system conforms to the requirements of this International Standard (ISO 27001:2022)."
ISO,9.2.1.b,"Internal Audit - Effectiveness","The organization shall conduct internal audits at planned intervals to provide information on whether the information security management system is effectively implemented and maintained."
ISO,9.2.2,"Internal Audit Programme - Plan, Establish, Implement","The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. The audit programme(s) shall take into consideration the importance of the processes concerned and the results of previous audits."
ISO,9.2.2.a,"Internal Audit Programme - Scope","The organization shall define the audit criteria and scope for each audit."
ISO,9.2.2.b,"Internal Audit Programme - Impartiality","The organization shall select auditors and conduct audits that ensure objectivity and the impartiality of the audit process."
ISO,9.2.2.c,"Internal Audit Programme - Reporting","The organization shall ensure that the results of the audits are reported to relevant management."
ISO,9.2.2.d,"Internal Audit Programme - Documentation","The organization shall retain documented information as evidence of the audit programme(s) and the audit results."
ISO,9.3.1,"Management Review - Information Security Management System","Top management shall review the organization’s information security management system at planned intervals to ensure its continuing suitability, adequacy and effectiveness."
ISO,9.3.2.a,"Management Review Inputs - Status of Past Actions","The management review shall include consideration of the status of actions from previous management reviews."
ISO,9.3.2.b,"Management Review Inputs - Internal and External Issues","The management review shall include consideration of changes in external and internal issues that are relevant to the information security management system."
ISO,9.3.2.c,"Management Review Inputs - Needs and Expectations of Interested Parties","The management review shall include consideration of changes in the needs and expectations of interested parties that are relevant to the information security management system."
ISO,9.3.2.d.1,"Management Review Inputs - Feedback on Corrective Actions","The management review shall include consideration of feedback on the information security performance, including trends in nonconformities and corrective actions."
ISO,9.3.2.d.2,"Management Review Inputs - Monitoring","The management review shall include consideration of feedback on the information security performance, including trends in monitoring and measurement results."
ISO,9.3.2.d.3,"Management Review Inputs - Audit Results","The management review shall include consideration of feedback on the information security performance, including trends in audit results."
ISO,9.3.2.d.4,"Management Review Inputs - Fulfilment of Security Objectives","The management review shall include consideration of feedback on the information security performance, including trends in fulfilment of information security objectives."
ISO,9.3.2.e,"Management Review Inputs - Feedback","The management review shall include consideration of feedback from interested parties."
ISO,9.3.2.f,"Management Review Inputs - Risk Assessment Results","The management review shall include consideration of results of risk assessment and status of risk treatment plan."
ISO,9.3.2.g,"Management Review Inputs - Continual Improvement","The management review shall include consideration of opportunities for continual improvement."
ISO,9.3.3,"Management review results","The results of the management review shall include decisions related to continual improvement opportunities and any needs for changes to the information security management system. Documented information shall be available as evidence of the results of management reviews."
ISO,10.1,"Continual improvement","The organization shall continually improve the suitability, adequacy and effectiveness of the information security management system."
ISO,10.2.a.1,"Nonconformity and corrective action - Corrective Action","When a nonconformity occurs, the organization shall react to the nonconformity, and as applicable take action to control and correct it."
ISO,10.2.a.2,"Nonconformity and corrective action - Consequences","When a nonconformity occurs, the organization shall react to the nonconformity, and as applicable deal with the consequences."
ISO,10.2.b.1,"Nonconformity and corrective action - Review","When a nonconformity occurs, the organization shall evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur or occur elsewhere by reviewing the nonconformity."
ISO,10.2.b.2,"Nonconformity and corrective action - Root Cause","When a nonconformity occurs, the organization shall evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur or occur elsewhere by determining the causes of the nonconformity."
ISO,10.2.b.3,"Nonconformity and corrective action - Potential to Recur","When a nonconformity occurs, the organization shall evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur or occur elsewhere by determining if similar nonconformities exist, or could potentially occur."
ISO,10.2.c,"Nonconformity and corrective action - Implement Actions","When a nonconformity occurs, the organization shall implement any action needed."
ISO,10.2.d,"Nonconformity and corrective action - Review Corrective Action","When a nonconformity occurs, the organization shall review the effectiveness of any corrective action taken."
ISO,10.2.e,"Nonconformity and corrective action - Changes to Information Security Management System","When a nonconformity occurs, the organization shall make changes to the information security management system, if necessary. Corrective actions shall be appropriate to the effects of the nonconformities encountered."
ISO,10.2.f,"Nonconformity and corrective action - Documented information","When a nonconformity occurs, the organization shall retain documented information as evidence of the nature of the nonconformities and any subsequent actions taken."
ISO,10.2.g,"Nonconformity and corrective action - Results","When a nonconformity occurs, the organization shall retain documented information as evidence of the results of any corrective action."